# Constructed from biom file
#OTU ID	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18	sample-19	sample-20	sample-21	sample-22	sample-23	sample-24
a23b1cc89aad749aff4999c11d27ec86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	68.0
0f7ffb0b51c5fec9795c23b06be0bc3a	0.0	560.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38dac8efad99fd8a82dbbf3a23fbef31	0.0	0.0	0.0	0.0	129.0	0.0	0.0	33.0	0.0	0.0	0.0	39.0
bcc5205de42c3bcdc2390fabb690c67a	0.0	0.0	21.0	25.0	42.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0
3c5f4ff112ffb88e05791cb67db37e38	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fa614988d15b029a125934de0cd555c2	0.0	0.0	105.0	73.0	68.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0
a0e73eb209607fd22b378e7140348b11	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0
3e9a89374544cfeed1625308be521323	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2a85a4059122bacd2cd0f9f92f63f188	0.0	0.0	0.0	0.0	0.0	0.0	444.0	0.0	0.0	1173.0	0.0	4327.0
7223d2114da5dba0b9380bd8a7b69080	143.0	258.0	102.0	115.0	411.0	337.0	1339.0	538.0	536.0	227.0	301.0	986.0
fdf003e2bda1ec4e44be240c68ed7d0b	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	106.0	0.0	0.0	0.0
52b79e8083d3633db70c6d18d5cc7412	0.0	21.0	18.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0
a4cd19e2cc0c16da7881905822704bc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0
720c038ec7b6d0af8b53e8f2540819a7	26.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0
d4278a852b75c2b59db85f5afdead486	77.0	170.0	70.0	32.0	31.0	339.0	0.0	0.0	69.0	40.0	21.0	54.0
af6cbfe7484937f7b7e14ab6d02c2723	0.0	0.0	0.0	840.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0
38642bb493b9b0691669626de3e2a876	0.0	137.0	30.0	27.0	22.0	0.0	53.0	0.0	22.0	0.0	0.0	0.0
111a3c72869668030916f1b5f8322fe1	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6563d34be296a0e8333dd88acee443b8	0.0	0.0	0.0	41.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0
8bac06aa335489c7abe163e3901454de	65.0	0.0	78.0	110.0	197.0	406.0	453.0	0.0	0.0	0.0	35.0	0.0
9c94c8c64fe76cc810e61ad23e168723	0.0	2109.0	3727.0	1195.0	7508.0	3494.0	0.0	0.0	7086.0	0.0	0.0	0.0
86bfe250842c41a974a50575aee3c075	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fdb9bd011e41062b2665ababc9445b16	0.0	0.0	0.0	0.0	0.0	0.0	255.0	0.0	0.0	0.0	0.0	0.0
6d03076bc4b94a030b52414be5e68fe5	0.0	45.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0
e3e558885e2bedc0369a3c2b721a2ddd	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0
2c5aa10562d192b61aa830560b9232e3	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
02fe1c1a9eb8c62f794da9e9411c4c90	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fccc8090e93e0ae9360f30e8acc6e8b0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0
e4ded49cdb1da385ac853d57240e881c	430.0	907.0	6438.0	554.0	1234.0	642.0	1485.0	931.0	288.0	334.0	866.0	2085.0
