Isolate,Slope,Max,Treatment,Type,Test
Mortierella alpina,0.320710753,0.345,6.5,Fungi,pH
Mortierella alpina,0.300434743,0.463,6.5,Fungi,pH
Mortierella alpina,0.302210004,0.385,7,Fungi,pH
Mortierella alpina,0.257787563,0.448,7,Fungi,pH
Mortierella alpina,0.274213211,0.427,7,Fungi,pH
Mortierella alpina,0.288810676,0.708,7,Fungi,pH
Mortierella alpina,0.154046875,0.82,7.5,Fungi,S
Mortierella alpina,0.091160778,0.737,7.5,Fungi,S
Mortierella alpina,0.148705768,0.719,7.5,Fungi,S
Mortierella alpina,0.151959296,0.998,7.5,Fungi,S
Mortierella alpina,0.234529231,0.378,7.5,Fungi,pH
Mortierella alpina,0.209891412,0.455,7.5,Fungi,pH
Mortierella alpina,0.222373217,0.4,7.5,Fungi,pH
Mortierella alpina,0.222105389,0.36,7.5,Fungi,pH
Mortierella alpina,0.159532792,0.288,8,Fungi,pH
Mortierella alpina,0.193310507,0.294,8,Fungi,pH
Mortierella alpina,0.148573717,0.294,8,Fungi,pH
Mortierella alpina,0.156968535,0.587,8,Fungi,pH
Penicillium camemberti,0.249795633,0.643,0,Fungi,ControlP
Penicillium camemberti,0.216295312,0.625,0,Fungi,ControlP
Penicillium camemberti,0.226020946,0.652,0,Fungi,ControlP
Penicillium camemberti,0.205148549,0.641,0,Fungi,ControlP
Penicillium camemberti,0.223611589,0.58,6.5,Fungi,pH
Penicillium camemberti,0.191186092,0.61,6.5,Fungi,pH
Penicillium camemberti,0.243545360,0.588,6.5,Fungi,pH
Penicillium camemberti,0.267081656,0.569,6.5,Fungi,pH
Penicillium camemberti,0.271809885,0.538,7,Fungi,pH
Penicillium camemberti,0.145244329,0.767,7,Fungi,pH
Penicillium camemberti,0.155257432,0.54,7,Fungi,pH
Penicillium camemberti,0.156232100,0.539,7,Fungi,pH
Penicillium camemberti,0.176738500,0.6,7.5,Fungi,pH
Penicillium camemberti,0.194731394,0.582,7.5,Fungi,pH
Penicillium camemberti,0.163502536,0.556,7.5,Fungi,pH
Penicillium camemberti,0.192794338,0.572,7.5,Fungi,pH
Penicillium camemberti,0.146090353,0.504,8,Fungi,pH
Penicillium camemberti,0.150055611,0.519,8,Fungi,pH
Penicillium camemberti,0.138622755,0.511,8,Fungi,pH
Penicillium camemberti,0.177468694,0.522,8,Fungi,pH
Penicillium chrysogenum,0.1682851706,0.58,0,Fungi,ControlP
Penicillium chrysogenum,0.1759117445,0.578,0,Fungi,ControlP
Penicillium chrysogenum,0.1776518436,0.587,0,Fungi,ControlP
Penicillium chrysogenum,0.1835830855,0.574,0,Fungi,ControlP
Penicillium chrysogenum,0.2376828931,0.548,6.5,Fungi,pH
Penicillium chrysogenum,0.2279658161,0.537,6.5,Fungi,pH
Penicillium chrysogenum,0.2443636329,0.541,6.5,Fungi,pH
Penicillium chrysogenum,0.2200185348,0.566,6.5,Fungi,pH
Penicillium chrysogenum,0.2190558388,0.508,7,Fungi,pH
Penicillium chrysogenum,0.2282179434,0.552,7,Fungi,pH
Penicillium chrysogenum,0.1971321118,0.516,7,Fungi,pH
Penicillium chrysogenum,0.2003101152,0.76,7,Fungi,pH
Penicillium chrysogenum,0.2111680229,0.55,7.5,Fungi,pH
Penicillium chrysogenum,0.2242631990,0.501,7.5,Fungi,pH
Penicillium chrysogenum,0.2325423098,0.532,7.5,Fungi,pH
Penicillium chrysogenum,0.2426858699,0.567,7.5,Fungi,pH
Penicillium chrysogenum,0.0826852040,0.399,8,Fungi,pH
Penicillium chrysogenum,0.1630032039,0.464,8,Fungi,pH
Penicillium chrysogenum,0.1976475165,0.673,8,Fungi,pH
Penicillium chrysogenum,0.2052703204,0.637,8,Fungi,pH
Priestia aryabhattai,0.4297757,0.271,0,Bacteria,ControlP
Priestia aryabhattai,0.37673385,0.266,0,Bacteria,ControlP
Priestia aryabhattai,0.39465419,0.347,0,Bacteria,ControlP
Priestia aryabhattai,0.3648178,0.271,0,Bacteria,ControlP
Priestia aryabhattai,0.12107793,0.484,10,Bacteria,S
Priestia aryabhattai,0.40546511,0.301,10,Bacteria,S
Priestia aryabhattai,0.25354907,0.703,10,Bacteria,S
Priestia aryabhattai,0.19043035,0.443,10,Bacteria,S
Priestia aryabhattai,0.33647224,0.259,2.5,Bacteria,S
Priestia aryabhattai,0.15048542,0.443,2.5,Bacteria,S
Priestia aryabhattai,0.44501241,0.291,2.5,Bacteria,S
Priestia aryabhattai,0.4177352,0.301,2.5,Bacteria,S
Priestia aryabhattai,0.36984747,0.266,5,Bacteria,S
Priestia aryabhattai,0.50822484,0.287,5,Bacteria,S
Priestia aryabhattai,0.2135741,0.481,5,Bacteria,S
Priestia aryabhattai,0.36387121,0.473,5,Bacteria,S
Priestia aryabhattai,0.49036455,0.28,6.5,Bacteria,pH
Priestia aryabhattai,0.5658854,0.3,6.5,Bacteria,pH
Priestia aryabhattai,0.46134557,0.285,6.5,Bacteria,pH
Priestia aryabhattai,0.49484495,0.497,6.5,Bacteria,pH
Priestia aryabhattai,0.56346936,0.29,7,Bacteria,pH
Priestia aryabhattai,0.51572159,0.286,7,Bacteria,pH
Priestia aryabhattai,0.55866927,0.268,7,Bacteria,pH
Priestia aryabhattai,0.53954822,0.295,7,Bacteria,pH
Priestia aryabhattai,0.52387852,0.629,7.5,Bacteria,pH
Priestia aryabhattai,0.46575734,0.284,7.5,Bacteria,pH
Priestia aryabhattai,0.54002478,0.301,7.5,Bacteria,pH
Priestia aryabhattai,0.36061454,0.588,7.5,Bacteria,pH
Priestia aryabhattai,0.35446255,0.593,7.5,Bacteria,S
Priestia aryabhattai,0.23638878,0.509,7.5,Bacteria,S
Priestia aryabhattai,0.12847832,0.309,7.5,Bacteria,S
Priestia aryabhattai,0.14961186,0.444,7.5,Bacteria,S
Priestia aryabhattai,0.41950747,0.285,8,Bacteria,pH
Priestia aryabhattai,0.43531807,0.29,8,Bacteria,pH
Priestia aryabhattai,0.58091379,0.287,8,Bacteria,pH
Priestia aryabhattai,0.54551118,0.557,8,Bacteria,pH
